,name,did_not_play,date,team,opponent,home_away,game_start,seconds_played,field_goal_pct,field_goal_attempt,field_goal_made,threePT_made,threePT_attempt,threePT_pct,free_throws_made,free_throws_attempt,free_throws_pct,orb,drb,trb,assists,steals,blocks,turnovers,points,game_score,plus_minus
0,Alex Abrines,0,2017-10-19,OKC,NYK,0,0,1455,0.2,5,1,1,5,0.2,0,0,,0,3,3,0,1,0,2,3,-1.4,23
1,Alex Abrines,0,2017-10-21,OKC,UTA,1,0,1744,0.333,6,2,1,4,0.25,2,2,1,2,2,4,1,1,0,0,7,6.9,6
2,Alex Abrines,0,2017-10-22,OKC,MIN,0,0,860,1,2,2,0,0,,0,0,,0,0,0,0,1,0,0,4,2.8,13
3,Alex Abrines,0,2017-10-25,OKC,IND,0,0,806,0.4,5,2,1,1,1,0,0,,1,1,2,1,1,0,0,5,3.8,5
4,Alex Abrines,0,2017-10-27,OKC,MIN,1,0,507,0,1,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,-1.9,9
5,Alex Abrines,0,2017-10-28,OKC,CHI,1,0,1089,0.25,8,2,1,5,0.2,0,0,,0,2,2,1,2,0,1,5,1.7,-1
6,Alex Abrines,0,2017-10-31,OKC,MIL,1,0,1631,0.5,4,2,2,2,1,0,0,,0,1,1,1,1,0,2,6,2.4,11
7,Alex Abrines,0,2017-11-03,OKC,BOS,0,0,761,0.4,5,2,2,5,0.4,0,0,,0,1,1,0,0,1,0,6,3.1,6
8,Alex Abrines,0,2017-11-05,OKC,POR,1,0,876,0,1,0,0,1,0,0,0,,0,0,0,1,0,0,0,0,-0.4,11
9,Alex Abrines,0,2017-11-07,OKC,SAC,1,0,313,0.333,3,1,0,2,0,0,0,,1,0,1,0,0,0,0,2,0.6,-4
10,Alex Abrines,0,2017-11-09,OKC,DEN,1,0,722,,0,0,0,0,,1,1,1,0,1,1,0,0,0,0,1,1.3,-1
11,Alex Abrines,0,2017-11-10,OKC,LAC,0,0,1242,0.8,5,4,3,4,0.75,3,4,0.75,1,2,3,0,0,0,0,14,12.6,-2
12,Alex Abrines,0,2017-11-12,OKC,DAL,0,0,874,0.5,2,1,1,1,1,0,0,,1,1,2,0,0,0,1,3,1.2,-1
13,Alex Abrines,0,2017-11-15,OKC,CHI,0,0,1396,0.2,5,1,1,5,0.2,1,2,0.5,0,4,4,0,0,0,0,4,1.3,13
14,Alex Abrines,0,2017-11-17,OKC,SAS,1,0,1067,0.5,8,4,1,5,0.2,0,0,,1,0,1,0,1,0,1,9,5.3,0
15,Alex Abrines,0,2017-11-20,OKC,NOP,1,0,985,0.333,6,2,1,4,0.25,2,2,1,0,1,1,1,0,0,0,7,4.2,-17
16,Alex Abrines,0,2017-11-22,OKC,GSW,0,0,367,0,1,0,0,0,,0,0,,0,0,0,0,1,0,0,0,-0.5,6
17,Alex Abrines,0,2017-11-24,OKC,DET,0,0,533,0,2,0,0,1,0,0,0,,0,1,1,1,1,0,0,0,0.6,1
18,Alex Abrines,0,2017-11-25,OKC,DAL,1,0,110,0,1,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,-0.7,-1
19,Alex Abrines,1,2017-11-29,OKC,ORL,1,,,,,,,,,,,,,,,,,,,,,
20,Alex Abrines,1,2017-12-01,OKC,MIN,0,,,,,,,,,,,,,,,,,,,,,
21,Alex Abrines,0,2017-12-03,OKC,SAS,0,0,922,0.4,5,2,1,4,0.25,0,1,0,1,2,3,1,1,0,1,5,3.1,3
22,Alex Abrines,0,2017-12-05,OKC,UTA,0,0,1090,0.5,2,1,0,1,0,0,0,,0,1,1,0,1,0,0,2,0.7,0
23,Alex Abrines,0,2017-12-07,OKC,BRK,1,1,1536,0.25,8,2,1,3,0.333,0,0,,1,1,2,2,1,1,0,5,2.7,-8
24,Alex Abrines,0,2017-12-09,OKC,MEM,1,1,2554,0.7,10,7,6,8,0.75,0,1,0,0,4,4,0,2,0,3,20,14.4,4
25,Alex Abrines,0,2017-12-11,OKC,CHO,0,1,1571,0.222,9,2,2,7,0.286,6,6,1,0,0,0,0,0,0,1,12,3.9,-22
26,Alex Abrines,0,2017-12-13,OKC,IND,1,1,1904,0.625,8,5,4,6,0.667,0,0,,1,3,4,1,1,0,1,14,11.5,4
27,Alex Abrines,0,2017-12-15,OKC,PHI,1,0,1024,0.167,6,1,1,5,0.2,0,0,,1,3,4,0,0,0,2,3,-1.6,-6
28,Alex Abrines,0,2017-12-16,OKC,NYK,1,0,498,0,2,0,0,2,0,0,0,,0,1,1,0,1,0,0,0,-0.1,3
29,Alex Abrines,0,2017-12-18,OKC,DEN,0,0,820,1,3,3,3,3,1,2,2,1,0,5,5,0,1,0,0,11,12.2,2
30,Alex Abrines,0,2017-12-20,OKC,UTA,0,0,1377,0.25,4,1,1,3,0.333,0,0,,0,2,2,1,1,0,1,3,1.5,-9
31,Alex Abrines,0,2017-12-22,OKC,ATL,0,0,220,,0,0,0,0,,0,0,,0,0,0,1,0,0,2,0,-1.7,0
32,Alex Abrines,0,2017-12-23,OKC,UTA,1,0,983,0.333,3,1,1,3,0.333,0,0,,0,3,3,0,1,0,0,3,2,2
33,Alex Abrines,0,2017-12-25,OKC,HOU,0,0,175,,0,0,0,0,,0,0,,0,2,2,0,0,0,0,0,0.6,1
